State,Year,Quarter,Transaction Type,Transactions,Amount (INR),ATV (INR)
Andaman & Nicobar Islands,2021,2,Others,"1,628","1,327,080",815
Andhra Pradesh,2018,1,Recharge & bill payments,"5,027,448","892,293,976",177
Andhra Pradesh,2018,1,Peer-to-peer payments,"3,049,646","10,524,250,283","3,451"
Andhra Pradesh,2018,1,Merchant payments,"362,672","247,297,640",682
Andhra Pradesh,2018,1,Financial Services,"204,305","44,808,450",219
Andhra Pradesh,2018,1,Others,"395,514","287,626,043",727
Andhra Pradesh,2018,2,Recharge & bill payments,"6,456,387","1,598,591,488",248
Andhra Pradesh,2018,2,Peer-to-peer payments,"4,745,000","20,451,493,099","4,310"
Andhra Pradesh,2018,2,Merchant payments,"604,847","436,785,224",722
Andhra Pradesh,2018,2,Financial Services,"225,621","68,952,115",306
Andhra Pradesh,2018,2,Others,"322,063","328,092,347","1,019"
Andhra Pradesh,2018,3,Peer-to-peer payments,"16,129,591","32,738,630,445","2,030"
Andhra Pradesh,2018,3,Recharge & bill payments,"7,542,005","1,949,098,147",258
Andhra Pradesh,2018,3,Merchant payments,"1,225,416","685,277,255",559
Andhra Pradesh,2018,3,Financial Services,"380,324","60,790,078",160
Andhra Pradesh,2018,3,Others,"348,725","284,248,676",815
Andhra Pradesh,2018,4,Peer-to-peer payments,"17,580,086","47,011,639,726","2,674"
Andhra Pradesh,2018,4,Recharge & bill payments,"9,767,083","2,418,164,314",248
Andhra Pradesh,2018,4,Merchant payments,"2,622,131","1,671,585,889",637
Andhra Pradesh,2018,4,Financial Services,"400,837","57,178,116",143
Andhra Pradesh,2018,4,Others,"389,411","315,211,361",809
Andhra Pradesh,2019,1,Peer-to-peer payments,"37,420,988","77,524,329,742","2,072"
Andhra Pradesh,2019,1,Recharge & bill payments,"14,022,264","3,480,641,602",248
Andhra Pradesh,2019,1,Merchant payments,"5,043,682","2,423,536,770",481
Andhra Pradesh,2019,1,Financial Services,"416,325","47,150,178",113
Andhra Pradesh,2019,1,Others,"361,263","284,937,625",789
Andhra Pradesh,2019,2,Peer-to-peer payments,"32,494,402","103,924,649,232","3,198"
Andhra Pradesh,2019,2,Recharge & bill payments,"14,093,964","4,708,345,388",334
Andhra Pradesh,2019,2,Merchant payments,"9,226,537","4,613,405,203",500
Andhra Pradesh,2019,2,Financial Services,"145,310","26,626,697",183
Andhra Pradesh,2019,2,Others,"448,802","361,492,238",805
Andhra Pradesh,2019,3,Peer-to-peer payments,"39,023,491","124,338,645,330","3,186"
Andhra Pradesh,2019,3,Recharge & bill payments,"20,147,629","6,893,984,677",342
Andhra Pradesh,2019,3,Merchant payments,"16,581,787","7,887,394,038",476
Andhra Pradesh,2019,3,Financial Services,"122,270","29,778,183",244
Andhra Pradesh,2019,3,Others,"413,437","298,142,028",721
Andhra Pradesh,2019,4,Peer-to-peer payments,"57,181,511","178,893,550,051","3,129"
Andhra Pradesh,2019,4,Merchant payments,"25,122,370","13,476,303,368",536
Andhra Pradesh,2019,4,Recharge & bill payments,"24,469,888","8,335,168,606",341
Andhra Pradesh,2019,4,Financial Services,"105,662","26,796,572",254
Andhra Pradesh,2019,4,Others,"338,672","216,496,893",639
Andhra Pradesh,2020,1,Peer-to-peer payments,"65,452,143","223,088,554,055","3,408"
Andhra Pradesh,2020,1,Merchant payments,"31,408,022","18,603,161,784",592
Andhra Pradesh,2020,1,Recharge & bill payments,"30,449,644","10,813,530,778",355
Andhra Pradesh,2020,1,Financial Services,"75,238","43,739,133",581
Andhra Pradesh,2020,1,Others,"292,310","188,228,538",644
Andhra Pradesh,2020,2,Peer-to-peer payments,"73,609,921","262,731,724,131","3,569"
Andhra Pradesh,2020,2,Recharge & bill payments,"41,013,987","16,991,006,437",414
Andhra Pradesh,2020,2,Merchant payments,"29,976,765","22,625,596,525",755
Andhra Pradesh,2020,2,Financial Services,"140,941","145,274,999","1,031"
Andhra Pradesh,2020,2,Others,"176,241","90,087,655",511
Andhra Pradesh,2020,3,Peer-to-peer payments,"106,791,894","406,461,788,252","3,806"
Andhra Pradesh,2020,3,Merchant payments,"54,055,557","40,739,580,214",754
Andhra Pradesh,2020,3,Recharge & bill payments,"43,500,067","19,475,104,675",448
Andhra Pradesh,2020,3,Financial Services,"243,088","256,074,925","1,053"
Andhra Pradesh,2020,3,Others,"312,329","151,582,519",485
Andhra Pradesh,2020,4,Peer-to-peer payments,"152,003,791","566,639,138,544","3,728"
Andhra Pradesh,2020,4,Merchant payments,"86,581,460","66,654,048,150",770
Andhra Pradesh,2020,4,Recharge & bill payments,"46,810,304","20,936,337,212",447
Andhra Pradesh,2020,4,Financial Services,"265,470","305,168,772","1,150"
Andhra Pradesh,2020,4,Others,"457,527","306,853,356",671
Andhra Pradesh,2021,1,Peer-to-peer payments,"149,313,738","580,542,193,013","3,888"
Andhra Pradesh,2021,1,Merchant payments,"97,920,281","70,813,192,713",723
Andhra Pradesh,2021,1,Recharge & bill payments,"41,940,689","20,546,424,964",490
Andhra Pradesh,2021,1,Financial Services,"225,355","270,313,028","1,199"
Andhra Pradesh,2021,1,Others,"347,907","272,546,458",783
Andhra Pradesh,2021,2,Peer-to-peer payments,"189,614,879","737,004,484,057","3,887"
Andhra Pradesh,2021,2,Merchant payments,"112,875,274","88,512,429,437",784
Andhra Pradesh,2021,2,Recharge & bill payments,"49,626,902","24,646,800,345",497
Andhra Pradesh,2021,2,Financial Services,"243,237","265,483,044","1,091"
Andhra Pradesh,2021,2,Others,"406,842","308,302,224",758
Arunachal Pradesh,2018,1,Recharge & bill payments,"28,729","5,184,133",180
Arunachal Pradesh,2018,1,Peer-to-peer payments,"13,320","82,889,683","6,223"
Arunachal Pradesh,2018,1,Merchant payments,"1,042","2,420,374","2,323"
Arunachal Pradesh,2018,1,Financial Services,416,"58,894",142
Arunachal Pradesh,2018,1,Others,"1,990","1,834,253",922
Arunachal Pradesh,2018,2,Recharge & bill payments,"50,700","10,468,879",206
Arunachal Pradesh,2018,2,Peer-to-peer payments,"26,477","181,576,281","6,858"
Arunachal Pradesh,2018,2,Merchant payments,"2,378","4,718,953","1,984"
Arunachal Pradesh,2018,2,Financial Services,559,"363,762",651
Arunachal Pradesh,2018,2,Others,"2,043","1,842,317",902
Arunachal Pradesh,2018,3,Recharge & bill payments,"74,122","15,997,566",216
Arunachal Pradesh,2018,3,Peer-to-peer payments,"49,740","308,106,303","6,194"
Arunachal Pradesh,2018,3,Merchant payments,"4,738","5,505,695","1,162"
Arunachal Pradesh,2018,3,Financial Services,507,"72,134",142
Arunachal Pradesh,2018,3,Others,"2,039","2,044,709","1,003"
Arunachal Pradesh,2018,4,Recharge & bill payments,"97,751","20,662,692",211
Arunachal Pradesh,2018,4,Peer-to-peer payments,"68,169","468,831,493","6,877"
Arunachal Pradesh,2018,4,Merchant payments,"7,726","11,998,974","1,553"
Arunachal Pradesh,2018,4,Financial Services,561,"100,598",179
Arunachal Pradesh,2018,4,Others,"2,222","2,446,272","1,101"
Arunachal Pradesh,2019,1,Recharge & bill payments,"121,303","26,796,895",221
Arunachal Pradesh,2019,1,Peer-to-peer payments,"93,494","568,554,821","6,081"
Arunachal Pradesh,2019,1,Merchant payments,"9,214","11,727,218","1,273"
Arunachal Pradesh,2019,1,Financial Services,256,"140,623",549
Arunachal Pradesh,2019,1,Others,"2,239","2,730,549","1,220"
Arunachal Pradesh,2019,2,Recharge & bill payments,"131,988","30,420,803",230
Arunachal Pradesh,2019,2,Peer-to-peer payments,"106,527","704,237,943","6,611"
Arunachal Pradesh,2019,2,Merchant payments,"16,828","13,955,724",829
Arunachal Pradesh,2019,2,Financial Services,267,"160,661",602
Arunachal Pradesh,2019,2,Others,"3,046","3,880,743","1,274"
Arunachal Pradesh,2019,3,Recharge & bill payments,"216,228","50,946,105",236
Arunachal Pradesh,2019,3,Peer-to-peer payments,"133,484","841,037,395","6,301"
Arunachal Pradesh,2019,3,Merchant payments,"16,900","17,178,248","1,016"
Arunachal Pradesh,2019,3,Financial Services,864,"64,089",74
Arunachal Pradesh,2019,3,Others,"2,758","3,419,197","1,240"
Arunachal Pradesh,2019,4,Recharge & bill payments,"259,183","63,516,906",245
Arunachal Pradesh,2019,4,Peer-to-peer payments,"177,833","1,100,137,448","6,186"
Arunachal Pradesh,2019,4,Merchant payments,"19,769","23,192,272","1,173"
Arunachal Pradesh,2019,4,Financial Services,314,"305,380",973
Arunachal Pradesh,2019,4,Others,"2,376","3,421,174","1,440"
Arunachal Pradesh,2020,1,Recharge & bill payments,"329,834","86,011,655",261
Arunachal Pradesh,2020,1,Peer-to-peer payments,"203,429","1,263,912,288","6,213"
Arunachal Pradesh,2020,1,Merchant payments,"31,181","28,553,052",916
Arunachal Pradesh,2020,1,Financial Services,470,"337,813",719
Arunachal Pradesh,2020,1,Others,"2,261","2,943,873","1,302"
Arunachal Pradesh,2020,2,Recharge & bill payments,"522,495","145,198,528",278
Arunachal Pradesh,2020,2,Peer-to-peer payments,"247,861","1,630,654,426","6,579"
Arunachal Pradesh,2020,2,Merchant payments,"35,169","46,446,967","1,321"
Arunachal Pradesh,2020,2,Financial Services,"1,310","2,655,508","2,027"
Arunachal Pradesh,2020,2,Others,"1,939","1,761,404",908
Arunachal Pradesh,2020,3,Recharge & bill payments,"514,907","153,463,816",298
Arunachal Pradesh,2020,3,Peer-to-peer payments,"370,418","2,361,603,431","6,376"
Arunachal Pradesh,2020,3,Merchant payments,"72,736","88,145,179","1,212"
Arunachal Pradesh,2020,3,Financial Services,"1,761","4,030,600","2,289"
Arunachal Pradesh,2020,3,Others,"3,005","2,695,539",897
Arunachal Pradesh,2020,4,Peer-to-peer payments,"522,019","3,254,744,938","6,235"
Arunachal Pradesh,2020,4,Recharge & bill payments,"513,895","152,389,181",297
Arunachal Pradesh,2020,4,Merchant payments,"167,387","156,682,926",936
Arunachal Pradesh,2020,4,Financial Services,"1,749","2,391,652","1,367"
Arunachal Pradesh,2020,4,Others,"4,079","4,055,324",994
Arunachal Pradesh,2021,1,Peer-to-peer payments,"566,209","3,460,488,559","6,112"
Arunachal Pradesh,2021,1,Recharge & bill payments,"450,649","142,358,377",316
Arunachal Pradesh,2021,1,Merchant payments,"155,966","204,958,020","1,314"
Arunachal Pradesh,2021,1,Financial Services,"1,558","2,672,460","1,715"
Arunachal Pradesh,2021,1,Others,"3,074","3,301,663","1,074"
Arunachal Pradesh,2021,2,Peer-to-peer payments,"762,946","4,000,960,152","5,244"
Arunachal Pradesh,2021,2,Recharge & bill payments,"556,680","165,579,844",297
Arunachal Pradesh,2021,2,Merchant payments,"243,375","283,709,439","1,166"
Arunachal Pradesh,2021,2,Financial Services,"1,582","2,761,077","1,745"
Arunachal Pradesh,2021,2,Others,"3,755","3,415,105",909
Assam,2018,1,Recharge & bill payments,"632,092","93,491,181",148
Assam,2018,1,Peer-to-peer payments,"318,025","993,525,196","3,124"
Assam,2018,1,Merchant payments,"40,482","34,501,623",852
Assam,2018,1,Financial Services,"18,172","4,936,862",272
Assam,2018,1,Others,"48,110","31,349,594",652
Assam,2018,2,Recharge & bill payments,"984,160","174,427,478",177
Assam,2018,2,Peer-to-peer payments,"530,781","2,064,314,053","3,889"
Assam,2018,2,Merchant payments,"79,307","73,366,345",925
Assam,2018,2,Financial Services,"22,773","7,051,505",310
Assam,2018,2,Others,"46,852","31,425,755",671
Assam,2018,3,Recharge & bill payments,"1,275,136","254,569,069",200
Assam,2018,3,Peer-to-peer payments,"843,571","3,424,136,710","4,059"
Assam,2018,3,Merchant payments,"159,532","96,783,839",607
Assam,2018,3,Financial Services,"22,677","4,741,124",209
Assam,2018,3,Others,"50,935","30,904,248",607
Assam,2018,4,Recharge & bill payments,"1,703,488","317,661,277",186
Assam,2018,4,Peer-to-peer payments,"1,279,089","5,284,776,455","4,132"
Assam,2018,4,Merchant payments,"667,293","240,563,395",361
Assam,2018,4,Financial Services,"28,035","6,331,913",226
Assam,2018,4,Others,"56,267","38,689,819",688
Assam,2019,1,Recharge & bill payments,"1,993,220","400,281,678",201
Assam,2019,1,Peer-to-peer payments,"1,976,310","7,291,433,301","3,689"
Assam,2019,1,Merchant payments,"494,871","266,644,646",539
Assam,2019,1,Financial Services,"20,162","4,612,454",229
Assam,2019,1,Others,"48,442","39,127,458",808
Assam,2019,2,Recharge & bill payments,"2,512,932","539,315,773",215
Assam,2019,2,Peer-to-peer payments,"2,293,770","10,035,232,821","4,375"
Assam,2019,2,Merchant payments,"573,646","326,844,710",570
Assam,2019,2,Financial Services,"13,654","4,037,222",296
Assam,2019,2,Others,"60,927","49,538,663",813
Assam,2019,3,Peer-to-peer payments,"2,713,539","11,835,800,855","4,362"
Assam,2019,3,Recharge & bill payments,"2,645,302","639,885,373",242
Assam,2019,3,Merchant payments,"513,728","421,380,275",820
Assam,2019,3,Financial Services,"8,606","6,403,456",744
Assam,2019,3,Others,"61,396","46,973,661",765
Assam,2019,4,Peer-to-peer payments,"3,222,143","14,083,346,879","4,371"
Assam,2019,4,Recharge & bill payments,"2,937,800","704,118,874",240
Assam,2019,4,Merchant payments,"544,053","456,318,130",839
Assam,2019,4,Financial Services,"9,621","3,492,255",363
Assam,2019,4,Others,"46,893","34,707,757",740
Assam,2020,1,Peer-to-peer payments,"4,058,740","18,977,446,152","4,676"
Assam,2020,1,Recharge & bill payments,"3,897,975","971,722,606",249
Assam,2020,1,Merchant payments,"792,646","675,423,853",852
Assam,2020,1,Financial Services,"10,173","7,054,326",693
Assam,2020,1,Others,"49,326","36,781,411",746
Assam,2020,2,Recharge & bill payments,"6,045,321","1,612,522,829",267
Assam,2020,2,Peer-to-peer payments,"3,648,386","17,358,374,071","4,758"
Assam,2020,2,Merchant payments,"742,400","749,018,053","1,009"
Assam,2020,2,Financial Services,"19,814","18,130,005",915
Assam,2020,2,Others,"49,278","28,255,168",573
Assam,2020,3,Peer-to-peer payments,"5,637,893","26,646,565,777","4,726"
Assam,2020,3,Recharge & bill payments,"5,292,154","1,627,282,416",307
Assam,2020,3,Merchant payments,"1,383,230","1,492,484,153","1,079"
Assam,2020,3,Financial Services,"24,954","28,452,966","1,140"
Assam,2020,3,Others,"59,480","36,605,947",615
Assam,2020,4,Peer-to-peer payments,"7,538,478","36,013,292,451","4,777"
Assam,2020,4,Recharge & bill payments,"5,383,505","1,662,189,124",309
Assam,2020,4,Merchant payments,"2,392,184","2,466,913,306","1,031"
Assam,2020,4,Financial Services,"29,764","32,314,810","1,086"
Assam,2020,4,Others,"79,523","51,901,628",653
Assam,2021,1,Peer-to-peer payments,"9,449,096","45,476,079,487","4,813"
Assam,2021,1,Recharge & bill payments,"6,494,111","2,103,017,762",324
Assam,2021,1,Merchant payments,"3,459,132","3,657,261,586","1,057"
Assam,2021,1,Financial Services,"34,049","41,291,047","1,213"
Assam,2021,1,Others,"75,672","48,814,664",645
Assam,2021,2,Peer-to-peer payments,"11,668,399","51,521,387,891","4,415"
Assam,2021,2,Recharge & bill payments,"9,058,005","2,657,676,415",293
Assam,2021,2,Merchant payments,"4,562,669","4,914,753,140","1,077"
Assam,2021,2,Financial Services,"49,671","46,106,001",928
Assam,2021,2,Others,"94,161","52,549,929",558
Bihar,2018,1,Recharge & bill payments,"3,159,922","375,559,207",119
Bihar,2018,1,Peer-to-peer payments,"2,052,089","5,295,346,761","2,580"
Bihar,2018,1,Financial Services,"194,295","33,999,414",175
Bihar,2018,1,Merchant payments,"138,885","139,827,756","1,007"
Bihar,2018,1,Others,"279,111","201,025,034",720
Bihar,2018,2,Recharge & bill payments,"4,346,849","700,649,777",161
Bihar,2018,2,Peer-to-peer payments,"3,447,898","12,141,448,845","3,521"
Bihar,2018,2,Merchant payments,"311,487","318,571,873","1,023"
Bihar,2018,2,Financial Services,"267,433","45,332,532",170
Bihar,2018,2,Others,"258,711","300,128,083","1,160"
Bihar,2018,3,Peer-to-peer payments,"8,893,764","18,695,889,188","2,102"
Bihar,2018,3,Recharge & bill payments,"4,401,439","804,061,399",183
Bihar,2018,3,Merchant payments,"586,862","367,608,511",626
Bihar,2018,3,Financial Services,"274,510","33,276,460",121
Bihar,2018,3,Others,"211,229","234,968,821","1,112"
Bihar,2018,4,Peer-to-peer payments,"8,094,296","26,224,303,883","3,240"
Bihar,2018,4,Recharge & bill payments,"5,469,096","986,310,785",180
Bihar,2018,4,Merchant payments,"1,680,664","848,968,693",505
Bihar,2018,4,Financial Services,"237,247","36,199,428",153
Bihar,2018,4,Others,"251,098","302,214,380","1,204"
Bihar,2019,1,Peer-to-peer payments,"16,807,040","38,824,078,062","2,310"
Bihar,2019,1,Recharge & bill payments,"7,036,367","1,333,688,183",190
Bihar,2019,1,Merchant payments,"2,055,267","1,024,997,000",499
Bihar,2019,1,Financial Services,"204,689","28,599,536",140
Bihar,2019,1,Others,"252,871","291,464,734","1,153"
Bihar,2019,2,Peer-to-peer payments,"15,837,449","58,381,285,241","3,686"
Bihar,2019,2,Recharge & bill payments,"9,279,442","1,996,804,238",215
Bihar,2019,2,Merchant payments,"4,365,465","2,308,145,850",529
Bihar,2019,2,Financial Services,"129,603","63,338,109",489
Bihar,2019,2,Others,"348,520","382,864,846","1,099"
Bihar,2019,3,Peer-to-peer payments,"15,446,119","61,831,776,093","4,003"
Bihar,2019,3,Recharge & bill payments,"9,115,040","2,140,566,975",235
Bihar,2019,3,Merchant payments,"7,206,001","3,413,490,288",474
Bihar,2019,3,Financial Services,"89,997","20,145,460",224
Bihar,2019,3,Others,"282,743","286,804,438","1,014"
Bihar,2019,4,Peer-to-peer payments,"26,337,842","86,340,631,422","3,278"
Bihar,2019,4,Recharge & bill payments,"11,358,597","2,649,616,530",233
Bihar,2019,4,Merchant payments,"5,519,582","4,177,574,379",757
Bihar,2019,4,Financial Services,"100,192","18,815,965",188
Bihar,2019,4,Others,"214,101","126,788,282",592
Bihar,2020,1,Peer-to-peer payments,"23,163,922","99,873,688,133","4,312"
Bihar,2020,1,Recharge & bill payments,"13,837,430","3,680,590,625",266
Bihar,2020,1,Merchant payments,"7,822,567","5,562,692,117",711
Bihar,2020,1,Financial Services,"57,233","23,954,789",419
Bihar,2020,1,Others,"200,663","115,927,863",578
Bihar,2020,2,Peer-to-peer payments,"26,572,651","116,244,368,941","4,375"
Bihar,2020,2,Recharge & bill payments,"19,522,564","5,642,294,772",289
Bihar,2020,2,Merchant payments,"7,011,681","6,760,404,422",964
Bihar,2020,2,Financial Services,"73,119","54,077,813",740
Bihar,2020,2,Others,"206,727","105,377,680",510
Bihar,2020,3,Peer-to-peer payments,"37,294,332","153,664,683,752","4,120"
Bihar,2020,3,Recharge & bill payments,"19,027,978","6,313,780,617",332
Bihar,2020,3,Merchant payments,"14,777,337","13,111,735,855",887
Bihar,2020,3,Financial Services,"104,135","81,355,476",781
Bihar,2020,3,Others,"299,966","157,309,412",524
Bihar,2020,4,Peer-to-peer payments,"49,432,098","208,484,557,891","4,218"
Bihar,2020,4,Merchant payments,"26,750,991","23,185,594,534",867
Bihar,2020,4,Recharge & bill payments,"19,908,687","6,926,960,997",348
Bihar,2020,4,Financial Services,"119,416","100,785,736",844
Bihar,2020,4,Others,"380,481","207,713,978",546
Bihar,2021,1,Peer-to-peer payments,"58,566,582","242,013,312,361","4,132"
Bihar,2021,1,Merchant payments,"33,959,313","30,171,144,593",888
Bihar,2021,1,Recharge & bill payments,"21,974,086","8,505,455,545",387
Bihar,2021,1,Financial Services,"124,277","112,949,858",909
Bihar,2021,1,Others,"308,219","170,787,343",554
Bihar,2021,2,Peer-to-peer payments,"78,694,099","319,758,683,264","4,063"
Bihar,2021,2,Merchant payments,"44,686,786","43,458,914,640",973
Bihar,2021,2,Recharge & bill payments,"31,646,149","11,030,849,714",349
Bihar,2021,2,Financial Services,"149,791","116,086,346",775
Bihar,2021,2,Others,"426,797","215,721,223",505
Chandigarh,2018,1,Recharge & bill payments,"201,262","47,479,581",236
Chandigarh,2018,1,Peer-to-peer payments,"135,136","527,998,849","3,907"
Chandigarh,2018,1,Merchant payments,"21,431","19,477,067",909
Chandigarh,2018,1,Financial Services,"8,473","1,865,618",220
Chandigarh,2018,1,Others,"15,593","16,614,306","1,065"
Chandigarh,2018,2,Recharge & bill payments,"224,548","76,722,907",342
Chandigarh,2018,2,Peer-to-peer payments,"194,627","835,296,156","4,292"
Chandigarh,2018,2,Merchant payments,"34,606","29,408,472",850
Chandigarh,2018,2,Financial Services,"11,927","3,679,452",308
Chandigarh,2018,2,Others,"13,376","16,116,275","1,205"
Chandigarh,2018,3,Peer-to-peer payments,"295,358","1,217,617,706","4,123"
Chandigarh,2018,3,Recharge & bill payments,"236,445","100,639,675",426
Chandigarh,2018,3,Merchant payments,"64,998","37,560,566",578
Chandigarh,2018,3,Financial Services,"7,642","1,302,312",170
Chandigarh,2018,3,Others,"12,493","12,234,189",979
Chandigarh,2018,4,Peer-to-peer payments,"431,461","1,793,871,702","4,158"
Chandigarh,2018,4,Recharge & bill payments,"310,527","128,130,476",413
Chandigarh,2018,4,Merchant payments,"135,266","94,010,714",695
Chandigarh,2018,4,Financial Services,"10,008","2,039,811",204
Chandigarh,2018,4,Others,"17,854","14,538,889",814
Chandigarh,2019,1,Peer-to-peer payments,"689,400","2,123,866,602","3,081"
Chandigarh,2019,1,Recharge & bill payments,"390,610","161,414,934",413
Chandigarh,2019,1,Merchant payments,"169,984","97,230,471",572
Chandigarh,2019,1,Financial Services,"7,412","917,031",124
Chandigarh,2019,1,Others,"17,070","12,603,012",738
Chandigarh,2019,2,Peer-to-peer payments,"604,849","2,339,922,408","3,869"
Chandigarh,2019,2,Recharge & bill payments,"342,294","185,659,012",542
Chandigarh,2019,2,Merchant payments,"277,811","152,766,865",550
Chandigarh,2019,2,Financial Services,"5,590","839,765",150
Chandigarh,2019,2,Others,"21,926","13,928,050",635
Chandigarh,2019,3,Peer-to-peer payments,"722,233","2,815,184,153","3,898"
Chandigarh,2019,3,Merchant payments,"447,069","226,535,909",507
Chandigarh,2019,3,Recharge & bill payments,"308,219","213,884,900",694
Chandigarh,2019,3,Financial Services,"2,447","794,919",325
Chandigarh,2019,3,Others,"26,575","13,282,207",500
Chandigarh,2019,4,Peer-to-peer payments,"927,850","3,586,763,929","3,866"
Chandigarh,2019,4,Merchant payments,"561,630","318,692,522",567
