State,Year,Quarter,Transaction Type,Transactions,Amount (INR),ATV (INR)
Chandigarh,2019,4,Recharge & bill payments,"338,203","237,695,595",703
Chandigarh,2019,4,Financial Services,"1,911","654,299",342
Chandigarh,2019,4,Others,"21,321","8,707,474",408
Chandigarh,2020,1,Peer-to-peer payments,"1,087,401","4,421,372,542","4,066"
Chandigarh,2020,1,Merchant payments,"764,832","438,193,845",573
Chandigarh,2020,1,Recharge & bill payments,"389,851","257,250,007",660
Chandigarh,2020,1,Financial Services,"1,574","1,406,138",893
Chandigarh,2020,1,Others,"18,853","8,230,537",437
Chandigarh,2020,2,Peer-to-peer payments,"766,698","3,293,060,120","4,295"
Chandigarh,2020,2,Merchant payments,"390,906","331,423,259",848
Chandigarh,2020,2,Recharge & bill payments,"361,577","214,425,229",593
Chandigarh,2020,2,Financial Services,"1,797","3,982,005","2,216"
Chandigarh,2020,2,Others,"7,032","4,125,117",587
Chandigarh,2020,3,Peer-to-peer payments,"981,986","4,178,346,395","4,255"
Chandigarh,2020,3,Merchant payments,"796,634","604,271,249",759
Chandigarh,2020,3,Recharge & bill payments,"366,353","296,964,795",811
Chandigarh,2020,3,Financial Services,"2,643","5,254,415","1,988"
Chandigarh,2020,3,Others,"10,470","4,972,499",475
Chandigarh,2020,4,Merchant payments,"1,322,026","939,307,676",711
Chandigarh,2020,4,Peer-to-peer payments,"1,159,377","4,872,318,731","4,203"
Chandigarh,2020,4,Recharge & bill payments,"409,997","320,731,282",782
Chandigarh,2020,4,Financial Services,"3,346","4,400,110","1,315"
Chandigarh,2020,4,Others,"17,970","10,005,102",557
Chandigarh,2021,1,Merchant payments,"1,799,072","1,210,594,490",673
Chandigarh,2021,1,Peer-to-peer payments,"1,472,084","5,916,467,167","4,019"
Chandigarh,2021,1,Recharge & bill payments,"678,396","451,109,555",665
Chandigarh,2021,1,Financial Services,"5,111","7,700,395","1,507"
Chandigarh,2021,1,Others,"15,574","10,549,252",677
Chandigarh,2021,2,Merchant payments,"1,926,913","1,390,989,391",722
Chandigarh,2021,2,Peer-to-peer payments,"1,663,559","6,541,132,353","3,932"
Chandigarh,2021,2,Recharge & bill payments,"806,710","467,698,865",580
Chandigarh,2021,2,Financial Services,"5,502","7,394,941","1,344"
Chandigarh,2021,2,Others,"14,863","10,458,391",704
Chhattisgarh,2018,1,Recharge & bill payments,"1,177,618","206,518,663",175
Chhattisgarh,2018,1,Peer-to-peer payments,"550,697","1,838,238,336","3,338"
Chhattisgarh,2018,1,Merchant payments,"42,411","39,708,474",936
Chhattisgarh,2018,1,Financial Services,"33,002","7,350,624",223
Chhattisgarh,2018,1,Others,"87,786","57,339,460",653
Chhattisgarh,2018,2,Recharge & bill payments,"1,643,461","351,709,628",214
Chhattisgarh,2018,2,Peer-to-peer payments,"933,066","3,703,114,548","3,969"
Chhattisgarh,2018,2,Merchant payments,"118,438","129,967,815","1,097"
Chhattisgarh,2018,2,Financial Services,"40,299","9,405,942",233
Chhattisgarh,2018,2,Others,"80,892","69,972,511",865
Chhattisgarh,2018,3,Recharge & bill payments,"1,911,374","443,460,557",232
Chhattisgarh,2018,3,Peer-to-peer payments,"1,619,886","5,647,949,188","3,487"
Chhattisgarh,2018,3,Merchant payments,"220,572","145,342,066",659
Chhattisgarh,2018,3,Financial Services,"31,927","6,195,179",194
Chhattisgarh,2018,3,Others,"75,845","59,360,084",783
Chhattisgarh,2018,4,Recharge & bill payments,"2,438,959","554,514,488",227
Chhattisgarh,2018,4,Peer-to-peer payments,"2,342,713","8,450,105,299","3,607"
Chhattisgarh,2018,4,Merchant payments,"458,091","331,842,965",724
Chhattisgarh,2018,4,Financial Services,"42,199","9,709,810",230
Chhattisgarh,2018,4,Others,"83,882","70,240,102",837
Chhattisgarh,2019,1,Peer-to-peer payments,"4,068,056","11,417,366,152","2,807"
Chhattisgarh,2019,1,Recharge & bill payments,"2,997,095","679,458,795",227
Chhattisgarh,2019,1,Merchant payments,"710,047","374,735,987",528
Chhattisgarh,2019,1,Financial Services,"33,835","5,075,419",150
Chhattisgarh,2019,1,Others,"78,636","67,920,033",864
Chhattisgarh,2019,2,Peer-to-peer payments,"4,350,167","15,410,038,390","3,542"
Chhattisgarh,2019,2,Recharge & bill payments,"3,435,305","855,753,108",249
Chhattisgarh,2019,2,Merchant payments,"1,483,870","654,411,637",441
Chhattisgarh,2019,2,Financial Services,"22,563","4,237,632",188
Chhattisgarh,2019,2,Others,"98,040","77,914,923",795
Chhattisgarh,2019,3,Peer-to-peer payments,"5,021,844","17,584,630,268","3,502"
Chhattisgarh,2019,3,Recharge & bill payments,"4,335,851","1,069,468,754",247
Chhattisgarh,2019,3,Merchant payments,"2,772,084","1,074,255,589",388
Chhattisgarh,2019,3,Financial Services,"16,452","4,542,998",276
Chhattisgarh,2019,3,Others,"96,880","70,361,559",726
Chhattisgarh,2019,4,Peer-to-peer payments,"7,241,974","24,112,075,521","3,329"
Chhattisgarh,2019,4,Recharge & bill payments,"5,112,337","1,257,371,455",246
Chhattisgarh,2019,4,Merchant payments,"3,852,716","1,720,930,748",447
Chhattisgarh,2019,4,Financial Services,"14,974","4,665,760",312
Chhattisgarh,2019,4,Others,"83,757","48,745,254",582
Chhattisgarh,2020,1,Peer-to-peer payments,"8,109,789","28,723,854,869","3,542"
Chhattisgarh,2020,1,Recharge & bill payments,"6,400,067","1,688,995,018",264
Chhattisgarh,2020,1,Merchant payments,"4,923,214","2,393,811,867",486
Chhattisgarh,2020,1,Financial Services,"12,424","7,378,557",594
Chhattisgarh,2020,1,Others,"78,497","46,557,360",593
Chhattisgarh,2020,2,Recharge & bill payments,"8,366,200","2,504,355,747",299
Chhattisgarh,2020,2,Peer-to-peer payments,"7,216,219","27,351,810,048","3,790"
Chhattisgarh,2020,2,Merchant payments,"3,158,417","2,361,252,112",748
Chhattisgarh,2020,2,Financial Services,"19,986","17,814,455",891
Chhattisgarh,2020,2,Others,"60,103","33,149,845",552
Chhattisgarh,2020,3,Peer-to-peer payments,"9,734,445","34,661,165,923","3,561"
Chhattisgarh,2020,3,Recharge & bill payments,"8,705,513","2,790,720,003",321
Chhattisgarh,2020,3,Merchant payments,"5,591,916","3,990,179,454",714
Chhattisgarh,2020,3,Financial Services,"34,893","39,141,096","1,122"
Chhattisgarh,2020,3,Others,"81,772","45,538,331",557
Chhattisgarh,2020,4,Peer-to-peer payments,"14,257,312","50,812,302,053","3,564"
Chhattisgarh,2020,4,Merchant payments,"11,677,743","8,238,390,462",705
Chhattisgarh,2020,4,Recharge & bill payments,"9,423,324","3,033,918,783",322
Chhattisgarh,2020,4,Financial Services,"41,308","48,082,346","1,164"
Chhattisgarh,2020,4,Others,"129,949","82,280,640",633
Chhattisgarh,2021,1,Peer-to-peer payments,"15,621,154","55,638,916,992","3,562"
Chhattisgarh,2021,1,Merchant payments,"15,222,763","10,661,449,529",700
Chhattisgarh,2021,1,Recharge & bill payments,"8,456,094","3,000,977,539",355
Chhattisgarh,2021,1,Financial Services,"37,395","40,387,649","1,080"
Chhattisgarh,2021,1,Others,"99,031","68,111,553",688
Chhattisgarh,2021,2,Peer-to-peer payments,"18,387,345","62,134,058,797","3,379"
Chhattisgarh,2021,2,Merchant payments,"15,369,311","12,828,590,762",835
Chhattisgarh,2021,2,Recharge & bill payments,"10,764,784","3,640,692,364",338
Chhattisgarh,2021,2,Financial Services,"40,213","39,620,256",985
Chhattisgarh,2021,2,Others,"127,767","85,809,080",672
Dadra & Nagar Haveli and Daman & Diu,2018,1,Recharge & bill payments,"95,544","17,526,370",183
Dadra & Nagar Haveli and Daman & Diu,2018,1,Peer-to-peer payments,"44,599","151,966,933","3,407"
Dadra & Nagar Haveli and Daman & Diu,2018,1,Merchant payments,"1,531","1,580,763","1,033"
Dadra & Nagar Haveli and Daman & Diu,2018,1,Financial Services,"1,364","353,172",259
Dadra & Nagar Haveli and Daman & Diu,2018,1,Others,"5,511","4,231,147",768
Dadra & Nagar Haveli and Daman & Diu,2018,2,Recharge & bill payments,"122,834","30,595,592",249
Dadra & Nagar Haveli and Daman & Diu,2018,2,Peer-to-peer payments,"69,215","261,995,613","3,785"
Dadra & Nagar Haveli and Daman & Diu,2018,2,Merchant payments,"3,544","4,685,536","1,322"
Dadra & Nagar Haveli and Daman & Diu,2018,2,Financial Services,"2,996","383,806",128
Dadra & Nagar Haveli and Daman & Diu,2018,2,Others,"4,037","4,410,224","1,092"
Dadra & Nagar Haveli and Daman & Diu,2018,3,Recharge & bill payments,"157,113","39,790,820",253
Dadra & Nagar Haveli and Daman & Diu,2018,3,Peer-to-peer payments,"119,346","396,698,085","3,324"
Dadra & Nagar Haveli and Daman & Diu,2018,3,Merchant payments,"7,465","5,693,605",763
Dadra & Nagar Haveli and Daman & Diu,2018,3,Financial Services,"1,477","297,648",202
Dadra & Nagar Haveli and Daman & Diu,2018,3,Others,"4,174","5,159,437","1,236"
Dadra & Nagar Haveli and Daman & Diu,2018,4,Peer-to-peer payments,"194,214","582,082,154","2,997"
Dadra & Nagar Haveli and Daman & Diu,2018,4,Recharge & bill payments,"185,793","49,972,030",269
Dadra & Nagar Haveli and Daman & Diu,2018,4,Merchant payments,"15,739","19,577,328","1,244"
Dadra & Nagar Haveli and Daman & Diu,2018,4,Financial Services,"2,996","371,675",124
Dadra & Nagar Haveli and Daman & Diu,2018,4,Others,"5,340","6,747,430","1,264"
Dadra & Nagar Haveli and Daman & Diu,2019,1,Peer-to-peer payments,"408,465","757,657,638","1,855"
Dadra & Nagar Haveli and Daman & Diu,2019,1,Recharge & bill payments,"225,998","62,660,762",277
Dadra & Nagar Haveli and Daman & Diu,2019,1,Merchant payments,"20,694","17,043,868",824
Dadra & Nagar Haveli and Daman & Diu,2019,1,Financial Services,"1,645","221,065",134
Dadra & Nagar Haveli and Daman & Diu,2019,1,Others,"5,012","5,786,443","1,155"
Dadra & Nagar Haveli and Daman & Diu,2019,2,Peer-to-peer payments,"244,134","734,034,143","3,007"
Dadra & Nagar Haveli and Daman & Diu,2019,2,Recharge & bill payments,"198,184","63,874,446",322
Dadra & Nagar Haveli and Daman & Diu,2019,2,Merchant payments,"40,781","20,816,136",510
Dadra & Nagar Haveli and Daman & Diu,2019,2,Financial Services,748,"155,150",207
Dadra & Nagar Haveli and Daman & Diu,2019,2,Others,"5,809","5,561,402",957
Dadra & Nagar Haveli and Daman & Diu,2019,3,Recharge & bill payments,"319,142","104,597,035",328
Dadra & Nagar Haveli and Daman & Diu,2019,3,Peer-to-peer payments,"249,944","821,178,569","3,285"
Dadra & Nagar Haveli and Daman & Diu,2019,3,Merchant payments,"63,616","30,634,658",482
Dadra & Nagar Haveli and Daman & Diu,2019,3,Financial Services,533,"425,044",797
Dadra & Nagar Haveli and Daman & Diu,2019,3,Others,"5,516","4,636,167",840
Dadra & Nagar Haveli and Daman & Diu,2019,4,Recharge & bill payments,"351,819","125,809,568",358
Dadra & Nagar Haveli and Daman & Diu,2019,4,Peer-to-peer payments,"324,464","1,051,976,411","3,242"
Dadra & Nagar Haveli and Daman & Diu,2019,4,Merchant payments,"86,758","45,361,559",523
Dadra & Nagar Haveli and Daman & Diu,2019,4,Financial Services,"1,019","267,762",263
Dadra & Nagar Haveli and Daman & Diu,2019,4,Others,"4,911","3,225,961",657
Dadra & Nagar Haveli and Daman & Diu,2020,1,Recharge & bill payments,"407,577","153,340,696",376
Dadra & Nagar Haveli and Daman & Diu,2020,1,Peer-to-peer payments,"329,005","1,119,439,490","3,402"
Dadra & Nagar Haveli and Daman & Diu,2020,1,Merchant payments,"137,040","66,713,357",487
Dadra & Nagar Haveli and Daman & Diu,2020,1,Financial Services,668,"418,783",627
Dadra & Nagar Haveli and Daman & Diu,2020,1,Others,"4,289","2,851,044",665
Dadra & Nagar Haveli and Daman & Diu,2020,2,Recharge & bill payments,"525,974","178,877,987",340
Dadra & Nagar Haveli and Daman & Diu,2020,2,Peer-to-peer payments,"323,909","1,052,118,443","3,248"
Dadra & Nagar Haveli and Daman & Diu,2020,2,Merchant payments,"118,801","68,938,501",580
Dadra & Nagar Haveli and Daman & Diu,2020,2,Financial Services,"1,826","993,268",544
Dadra & Nagar Haveli and Daman & Diu,2020,2,Others,"2,642","1,448,255",548
Dadra & Nagar Haveli and Daman & Diu,2020,3,Recharge & bill payments,"455,603","201,223,380",442
Dadra & Nagar Haveli and Daman & Diu,2020,3,Peer-to-peer payments,"419,524","1,401,020,928","3,340"
Dadra & Nagar Haveli and Daman & Diu,2020,3,Merchant payments,"257,572","143,497,844",557
Dadra & Nagar Haveli and Daman & Diu,2020,3,Financial Services,"1,635","1,778,864","1,088"
Dadra & Nagar Haveli and Daman & Diu,2020,3,Others,"3,978","2,268,098",570
Dadra & Nagar Haveli and Daman & Diu,2020,4,Peer-to-peer payments,"666,995","2,153,786,523","3,229"
Dadra & Nagar Haveli and Daman & Diu,2020,4,Merchant payments,"631,443","316,510,116",501
Dadra & Nagar Haveli and Daman & Diu,2020,4,Recharge & bill payments,"509,971","224,246,670",440
Dadra & Nagar Haveli and Daman & Diu,2020,4,Financial Services,"2,453","1,683,960",686
Dadra & Nagar Haveli and Daman & Diu,2020,4,Others,"6,929","4,283,833",618
Dadra & Nagar Haveli and Daman & Diu,2021,1,Peer-to-peer payments,"768,921","2,379,220,756","3,094"
Dadra & Nagar Haveli and Daman & Diu,2021,1,Merchant payments,"705,821","367,522,132",521
Dadra & Nagar Haveli and Daman & Diu,2021,1,Recharge & bill payments,"442,926","213,177,145",481
Dadra & Nagar Haveli and Daman & Diu,2021,1,Financial Services,"2,243","1,930,009",860
Dadra & Nagar Haveli and Daman & Diu,2021,1,Others,"5,333","3,782,869",709
Dadra & Nagar Haveli and Daman & Diu,2021,2,Peer-to-peer payments,"843,550","2,512,913,026","2,979"
Dadra & Nagar Haveli and Daman & Diu,2021,2,Merchant payments,"802,899","430,487,474",536
Dadra & Nagar Haveli and Daman & Diu,2021,2,Recharge & bill payments,"471,136","208,762,964",443
Dadra & Nagar Haveli and Daman & Diu,2021,2,Financial Services,"1,826","1,763,793",966
Dadra & Nagar Haveli and Daman & Diu,2021,2,Others,"5,672","3,741,204",660
Delhi,2018,1,Recharge & bill payments,"3,947,297","1,320,559,613",335
Delhi,2018,1,Peer-to-peer payments,"2,380,820","9,125,685,135","3,833"
Delhi,2018,1,Merchant payments,"339,809","375,393,115","1,105"
Delhi,2018,1,Financial Services,"136,240","45,588,429",335
Delhi,2018,1,Others,"318,588","344,277,515","1,081"
Delhi,2018,2,Recharge & bill payments,"4,511,737","2,078,183,616",461
Delhi,2018,2,Peer-to-peer payments,"3,542,716","14,348,179,103","4,050"
Delhi,2018,2,Merchant payments,"837,001","631,597,791",755
Delhi,2018,2,Financial Services,"205,991","66,584,728",323
Delhi,2018,2,Others,"276,278","321,754,664","1,165"
Delhi,2018,3,Peer-to-peer payments,"8,557,153","22,670,122,889","2,649"
Delhi,2018,3,Recharge & bill payments,"5,305,635","3,261,844,271",615
Delhi,2018,3,Merchant payments,"3,808,395","1,048,422,634",275
Delhi,2018,3,Financial Services,"274,526","45,051,151",164
Delhi,2018,3,Others,"601,339","350,405,916",583
Delhi,2018,4,Peer-to-peer payments,"9,973,249","32,389,252,495","3,248"
Delhi,2018,4,Merchant payments,"9,958,967","2,738,429,839",275
Delhi,2018,4,Recharge & bill payments,"7,483,633","3,961,160,543",529
Delhi,2018,4,Financial Services,"265,004","58,162,003",219
Delhi,2018,4,Others,"1,506,866","575,852,739",382
Delhi,2019,1,Peer-to-peer payments,"20,216,287","48,250,023,721","2,387"
Delhi,2019,1,Merchant payments,"13,875,931","3,996,618,720",288
Delhi,2019,1,Recharge & bill payments,"10,744,978","5,521,320,539",514
Delhi,2019,1,Financial Services,"223,095","30,997,040",139
Delhi,2019,1,Others,"1,947,036","670,171,770",344
Delhi,2019,2,Merchant payments,"20,891,431","6,816,878,923",326
Delhi,2019,2,Peer-to-peer payments,"20,570,311","65,953,571,241","3,206"
Delhi,2019,2,Recharge & bill payments,"12,869,453","8,035,701,902",624
Delhi,2019,2,Financial Services,"137,774","33,985,069",247
Delhi,2019,2,Others,"2,702,543","866,678,928",321
Delhi,2019,3,Merchant payments,"29,453,368","9,857,221,392",335
Delhi,2019,3,Peer-to-peer payments,"25,201,978","81,904,443,496","3,250"
Delhi,2019,3,Recharge & bill payments,"11,133,404","10,406,524,193",935
Delhi,2019,3,Financial Services,"92,061","27,952,187",304
Delhi,2019,3,Others,"3,657,065","1,000,670,778",274
Delhi,2019,4,Peer-to-peer payments,"33,040,093","105,858,524,152","3,204"
Delhi,2019,4,Merchant payments,"32,537,378","12,864,577,363",395
Delhi,2019,4,Recharge & bill payments,"11,609,898","9,500,486,081",818
Delhi,2019,4,Financial Services,"57,063","21,512,528",377
Delhi,2019,4,Others,"3,500,565","779,367,300",223
Delhi,2020,1,Merchant payments,"33,951,545","14,470,782,771",426
Delhi,2020,1,Peer-to-peer payments,"32,410,795","108,987,600,006","3,363"
Delhi,2020,1,Recharge & bill payments,"12,822,919","9,498,791,148",741
Delhi,2020,1,Financial Services,"46,529","39,908,838",858
Delhi,2020,1,Others,"2,515,816","619,460,879",246
Delhi,2020,2,Peer-to-peer payments,"27,155,938","86,227,124,454","3,175"
Delhi,2020,2,Merchant payments,"24,963,931","12,708,327,044",509
Delhi,2020,2,Recharge & bill payments,"13,568,505","8,699,886,044",641
Delhi,2020,2,Financial Services,"64,790","75,405,868","1,164"
Delhi,2020,2,Others,"288,854","162,694,793",563
Delhi,2020,3,Peer-to-peer payments,"41,498,638","140,074,023,548","3,375"
Delhi,2020,3,Merchant payments,"40,973,792","21,858,176,583",533
Delhi,2020,3,Recharge & bill payments,"13,448,341","12,883,226,305",958
Delhi,2020,3,Financial Services,"85,689","114,341,865","1,334"
Delhi,2020,3,Others,"485,401","234,194,503",482
Delhi,2020,4,Merchant payments,"54,581,166","31,106,554,563",570
Delhi,2020,4,Peer-to-peer payments,"49,631,928","171,546,055,992","3,456"
Delhi,2020,4,Recharge & bill payments,"14,862,946","12,921,793,577",869
Delhi,2020,4,Financial Services,"114,862","160,007,920","1,393"
Delhi,2020,4,Others,"1,349,515","530,676,173",393
Delhi,2021,1,Merchant payments,"72,615,587","39,861,532,639",549
Delhi,2021,1,Peer-to-peer payments,"61,957,428","210,823,551,741","3,403"
Delhi,2021,1,Recharge & bill payments,"21,164,274","15,447,408,659",730
Delhi,2021,1,Financial Services,"153,039","203,106,852","1,327"
Delhi,2021,1,Others,"1,468,676","592,745,152",404
Delhi,2021,2,Merchant payments,"75,620,295","42,933,366,743",568
Delhi,2021,2,Peer-to-peer payments,"68,497,718","223,034,955,528","3,256"
Delhi,2021,2,Recharge & bill payments,"25,026,678","15,310,096,463",612
Delhi,2021,2,Financial Services,"158,170","190,019,761","1,201"
Delhi,2021,2,Others,"854,403","472,659,189",553
Goa,2018,1,Recharge & bill payments,"85,991","18,273,814",213
Goa,2018,1,Peer-to-peer payments,"59,651","268,175,048","4,496"
Goa,2018,1,Merchant payments,"7,880","11,036,032","1,401"
Goa,2018,1,Financial Services,"1,191","520,106",437
Goa,2018,1,Others,"6,184","5,851,743",946
Goa,2018,2,Recharge & bill payments,"120,943","30,994,284",256
Goa,2018,2,Peer-to-peer payments,"87,878","419,492,233","4,774"
Goa,2018,2,Merchant payments,"12,456","20,162,856","1,619"
Goa,2018,2,Financial Services,"1,903","733,429",385
Goa,2018,2,Others,"6,395","7,221,024","1,129"
Goa,2018,3,Recharge & bill payments,"158,797","40,314,973",254
Goa,2018,3,Peer-to-peer payments,"150,297","639,468,418","4,255"
Goa,2018,3,Merchant payments,"21,587","26,634,198","1,234"
Goa,2018,3,Financial Services,"1,867","468,171",251
Goa,2018,3,Others,"6,963","6,281,209",902
Goa,2018,4,Peer-to-peer payments,"246,426","1,021,902,315","4,147"
Goa,2018,4,Recharge & bill payments,"212,122","54,832,856",258
Goa,2018,4,Merchant payments,"45,586","66,666,114","1,462"
Goa,2018,4,Financial Services,"2,523","723,599",287
Goa,2018,4,Others,"8,098","8,880,194","1,097"
Goa,2019,1,Peer-to-peer payments,"378,848","1,310,759,848","3,460"
Goa,2019,1,Recharge & bill payments,"275,277","78,212,835",284
Goa,2019,1,Merchant payments,"74,527","75,946,974","1,019"
Goa,2019,1,Financial Services,"2,013","499,592",248
Goa,2019,1,Others,"8,147","9,904,148","1,216"
Goa,2019,2,Peer-to-peer payments,"373,759","1,391,933,791","3,724"
Goa,2019,2,Recharge & bill payments,"278,060","93,218,689",335
Goa,2019,2,Merchant payments,"104,592","92,873,009",888
Goa,2019,2,Financial Services,"1,211","515,860",426
Goa,2019,2,Others,"10,819","13,325,755","1,232"
Goa,2019,3,Peer-to-peer payments,"475,178","1,704,668,027","3,587"
Goa,2019,3,Recharge & bill payments,"453,806","157,952,855",348
Goa,2019,3,Merchant payments,"150,578","123,948,571",823
Goa,2019,3,Financial Services,"1,510","1,282,345",849
Goa,2019,3,Others,"11,344","12,515,394","1,103"
Goa,2019,4,Peer-to-peer payments,"698,728","2,484,453,030","3,556"
Goa,2019,4,Recharge & bill payments,"552,421","205,602,115",372
Goa,2019,4,Merchant payments,"250,893","218,404,665",871
Goa,2019,4,Financial Services,"1,497","649,713",434
Goa,2019,4,Others,"11,733","14,350,825","1,223"
Goa,2020,1,Peer-to-peer payments,"817,198","2,851,686,769","3,490"
Goa,2020,1,Recharge & bill payments,"678,079","244,739,382",361
Goa,2020,1,Merchant payments,"373,110","298,421,548",800
Goa,2020,1,Financial Services,"1,762","1,816,478","1,031"
Goa,2020,1,Others,"11,088","13,707,055","1,236"
Goa,2020,2,Recharge & bill payments,"758,617","241,196,541",318
Goa,2020,2,Peer-to-peer payments,"493,326","1,766,723,888","3,581"
Goa,2020,2,Merchant payments,"221,358","168,591,712",762
Goa,2020,2,Financial Services,"3,081","3,328,361","1,080"
Goa,2020,2,Others,"5,710","3,775,928",661
Goa,2020,3,Peer-to-peer payments,"759,351","2,723,430,713","3,587"
Goa,2020,3,Recharge & bill payments,"696,770","280,187,505",402
Goa,2020,3,Merchant payments,"446,880","353,193,881",790
Goa,2020,3,Financial Services,"4,985","6,418,950","1,288"
Goa,2020,3,Others,"7,545","5,112,531",678
Goa,2020,4,Peer-to-peer payments,"1,550,251","5,407,626,413","3,488"
Goa,2020,4,Merchant payments,"1,389,834","1,123,844,213",809
Goa,2020,4,Recharge & bill payments,"839,199","345,088,772",411
Goa,2020,4,Financial Services,"7,287","10,386,560","1,425"
Goa,2020,4,Others,"14,810","12,846,789",867
Goa,2021,1,Peer-to-peer payments,"2,235,456","7,553,384,653","3,379"
Goa,2021,1,Merchant payments,"2,195,509","1,768,358,977",805
Goa,2021,1,Recharge & bill payments,"880,682","410,604,193",466
Goa,2021,1,Financial Services,"8,138","12,207,778","1,500"
Goa,2021,1,Others,"11,764","12,687,278","1,078"
Goa,2021,2,Merchant payments,"1,869,384","1,411,529,034",755
Goa,2021,2,Peer-to-peer payments,"1,866,837","6,195,032,351","3,318"
Goa,2021,2,Recharge & bill payments,"953,219","383,804,809",403
Goa,2021,2,Financial Services,"8,303","12,371,844","1,490"
Goa,2021,2,Others,"12,392","10,115,549",816
Gujarat,2018,1,Recharge & bill payments,"3,691,952","878,929,081",238
Gujarat,2018,1,Peer-to-peer payments,"1,738,974","6,318,864,760","3,634"
Gujarat,2018,1,Merchant payments,"145,436","166,036,668","1,142"
Gujarat,2018,1,Financial Services,"122,117","27,986,679",229
Gujarat,2018,1,Others,"250,296","186,165,068",744
Gujarat,2018,2,Recharge & bill payments,"4,643,367","1,571,880,396",339
Gujarat,2018,2,Peer-to-peer payments,"2,483,231","10,009,680,530","4,031"
Gujarat,2018,2,Merchant payments,"275,503","356,984,574","1,296"
Gujarat,2018,2,Financial Services,"140,704","38,598,263",274
Gujarat,2018,2,Others,"202,928","185,541,008",914
Gujarat,2018,3,Peer-to-peer payments,"5,287,200","15,272,745,138","2,889"
Gujarat,2018,3,Recharge & bill payments,"5,117,168","1,938,041,689",379
Gujarat,2018,3,Merchant payments,"573,440","466,209,497",813
Gujarat,2018,3,Financial Services,"136,468","24,930,606",183
Gujarat,2018,3,Others,"219,873","164,477,497",748
Gujarat,2018,4,Peer-to-peer payments,"6,488,202","21,207,285,185","3,269"
Gujarat,2018,4,Recharge & bill payments,"6,138,404","2,297,332,323",374
Gujarat,2018,4,Merchant payments,"1,656,377","1,088,373,316",657
Gujarat,2018,4,Financial Services,"133,915","30,699,273",229
Gujarat,2018,4,Others,"316,405","207,297,006",655
Gujarat,2019,1,Peer-to-peer payments,"13,465,044","31,231,285,551","2,319"
Gujarat,2019,1,Recharge & bill payments,"8,595,256","3,104,251,733",361
Gujarat,2019,1,Merchant payments,"2,493,340","1,296,376,125",520
Gujarat,2019,1,Financial Services,"114,539","19,581,521",171
Gujarat,2019,1,Others,"323,272","204,585,379",633
Gujarat,2019,2,Peer-to-peer payments,"12,547,493","41,853,661,230","3,336"
Gujarat,2019,2,Recharge & bill payments,"10,434,449","4,651,874,823",446
Gujarat,2019,2,Merchant payments,"5,486,791","2,526,448,415",460
Gujarat,2019,2,Financial Services,"70,502","17,349,813",246
Gujarat,2019,2,Others,"442,607","271,280,937",613
Gujarat,2019,3,Peer-to-peer payments,"14,529,353","49,206,585,462","3,387"
Gujarat,2019,3,Merchant payments,"11,788,077","4,211,116,461",357
Gujarat,2019,3,Recharge & bill payments,"11,349,625","5,768,100,024",508
Gujarat,2019,3,Financial Services,"78,609","20,507,001",261
Gujarat,2019,3,Others,"482,985","256,386,015",531
Gujarat,2019,4,Peer-to-peer payments,"19,107,911","64,477,452,639","3,374"
Gujarat,2019,4,Recharge & bill payments,"12,967,713","6,517,891,167",503
Gujarat,2019,4,Merchant payments,"9,964,076","5,480,269,120",550
Gujarat,2019,4,Financial Services,"63,498","20,202,767",318
Gujarat,2019,4,Others,"444,434","194,846,362",438
Gujarat,2020,1,Peer-to-peer payments,"19,068,093","72,393,727,235","3,797"
Gujarat,2020,1,Recharge & bill payments,"15,648,472","7,197,595,157",460
Gujarat,2020,1,Merchant payments,"12,191,478","7,210,758,662",591
Gujarat,2020,1,Financial Services,"50,753","27,460,255",541
Gujarat,2020,1,Others,"367,621","165,535,312",450
Gujarat,2020,2,Recharge & bill payments,"19,971,660","8,322,688,557",417
Gujarat,2020,2,Peer-to-peer payments,"17,569,398","64,723,140,394","3,684"
Gujarat,2020,2,Merchant payments,"9,645,967","7,196,610,932",746
Gujarat,2020,2,Financial Services,"59,617","53,132,341",891
Gujarat,2020,2,Others,"173,543","92,274,135",532
Gujarat,2020,3,Peer-to-peer payments,"23,130,724","89,142,122,337","3,854"
Gujarat,2020,3,Merchant payments,"18,338,969","12,749,796,642",695
Gujarat,2020,3,Recharge & bill payments,"17,481,357","9,820,654,244",562
Gujarat,2020,3,Financial Services,"92,278","84,723,189",918
Gujarat,2020,3,Others,"246,851","124,456,073",504
Gujarat,2020,4,Peer-to-peer payments,"29,967,258","116,743,230,330","3,896"
Gujarat,2020,4,Merchant payments,"28,430,460","20,844,321,157",733
Gujarat,2020,4,Recharge & bill payments,"18,943,669","10,441,981,826",551
Gujarat,2020,4,Financial Services,"113,371","120,056,734","1,059"
Gujarat,2020,4,Others,"373,789","243,470,065",651
Gujarat,2021,1,Peer-to-peer payments,"36,427,493","144,818,968,373","3,976"
Gujarat,2021,1,Merchant payments,"35,815,382","26,512,643,894",740
Gujarat,2021,1,Recharge & bill payments,"22,088,838","11,996,115,292",543
Gujarat,2021,1,Financial Services,"126,380","137,612,318","1,089"
Gujarat,2021,1,Others,"316,472","235,440,836",744
Gujarat,2021,2,Merchant payments,"42,593,432","33,542,305,034",787
Gujarat,2021,2,Peer-to-peer payments,"41,642,387","162,483,567,902","3,902"
