State,Year,Quarter,Brand,Registered Users,Percentage
Andaman & Nicobar Islands,2020,1,Oppo,"2,557",9%
Andaman & Nicobar Islands,2020,1,Realme,"1,511",5%
Andaman & Nicobar Islands,2020,1,OnePlus,"1,184",4%
Andaman & Nicobar Islands,2020,1,Huawei,891,3%
Andaman & Nicobar Islands,2020,1,Apple,735,3%
Andaman & Nicobar Islands,2020,1,Motorola,715,3%
Andaman & Nicobar Islands,2020,1,Lenovo,500,2%
Andaman & Nicobar Islands,2020,1,Others,"2,257",8%
Andaman & Nicobar Islands,2020,2,Xiaomi,"7,805",24%
Andaman & Nicobar Islands,2020,2,Vivo,"7,122",22%
Andaman & Nicobar Islands,2020,2,Samsung,"6,030",18%
Andaman & Nicobar Islands,2020,2,Oppo,"2,976",9%
Andaman & Nicobar Islands,2020,2,Realme,"1,761",5%
Andaman & Nicobar Islands,2020,2,OnePlus,"1,271",4%
Andaman & Nicobar Islands,2020,2,Huawei,"1,005",3%
Andaman & Nicobar Islands,2020,2,Apple,792,2%
Andaman & Nicobar Islands,2020,2,Motorola,779,2%
Andaman & Nicobar Islands,2020,2,Lenovo,552,2%
Andaman & Nicobar Islands,2020,2,Others,"2,617",8%
Andaman & Nicobar Islands,2020,3,Xiaomi,"9,794",24%
Andaman & Nicobar Islands,2020,3,Vivo,"9,556",23%
Andaman & Nicobar Islands,2020,3,Samsung,"7,572",18%
Andaman & Nicobar Islands,2020,3,Oppo,"3,730",9%
Andaman & Nicobar Islands,2020,3,Realme,"2,285",6%
Andaman & Nicobar Islands,2020,3,OnePlus,"1,440",3%
Andaman & Nicobar Islands,2020,3,Huawei,"1,213",3%
Andaman & Nicobar Islands,2020,3,Motorola,907,2%
Andaman & Nicobar Islands,2020,3,Apple,870,2%
Andaman & Nicobar Islands,2020,3,Lenovo,606,1%
Andaman & Nicobar Islands,2020,3,Others,"3,362",8%
Andaman & Nicobar Islands,2020,4,Xiaomi,"12,398",24%
Andaman & Nicobar Islands,2020,4,Vivo,"12,275",23%
Andaman & Nicobar Islands,2020,4,Samsung,"9,938",19%
Andaman & Nicobar Islands,2020,4,Oppo,"4,723",9%
Andaman & Nicobar Islands,2020,4,Realme,"2,996",6%
Andaman & Nicobar Islands,2020,4,OnePlus,"1,638",3%
Andaman & Nicobar Islands,2020,4,Huawei,"1,472",3%
Andaman & Nicobar Islands,2020,4,Motorola,"1,032",2%
Andaman & Nicobar Islands,2020,4,Apple,973,2%
Andaman & Nicobar Islands,2020,4,Lenovo,708,1%
Andaman & Nicobar Islands,2020,4,Others,"4,243",8%
Andaman & Nicobar Islands,2021,1,Vivo,"13,812",24%
Andaman & Nicobar Islands,2021,1,Xiaomi,"13,714",24%
Andaman & Nicobar Islands,2021,1,Samsung,"10,861",19%
Andaman & Nicobar Islands,2021,1,Oppo,"5,158",9%
Andaman & Nicobar Islands,2021,1,Realme,"3,419",6%
Andaman & Nicobar Islands,2021,1,OnePlus,"1,773",3%
Andaman & Nicobar Islands,2021,1,Huawei,"1,575",3%
Andaman & Nicobar Islands,2021,1,Motorola,"1,062",2%
Andaman & Nicobar Islands,2021,1,Apple,"1,056",2%
Andaman & Nicobar Islands,2021,1,Tecno,796,1%
Andaman & Nicobar Islands,2021,1,Others,"4,532",8%
Andaman & Nicobar Islands,2021,2,Vivo,"15,056",24%
Andaman & Nicobar Islands,2021,2,Xiaomi,"14,788",24%
Andaman & Nicobar Islands,2021,2,Samsung,"11,476",18%
Andaman & Nicobar Islands,2021,2,Oppo,"5,456",9%
Andaman & Nicobar Islands,2021,2,Realme,"4,034",6%
Andaman & Nicobar Islands,2021,2,OnePlus,"1,981",3%
Andaman & Nicobar Islands,2021,2,Huawei,"1,559",3%
Andaman & Nicobar Islands,2021,2,Apple,"1,153",2%
Andaman & Nicobar Islands,2021,2,Motorola,"1,054",2%
Andaman & Nicobar Islands,2021,2,Tecno,974,2%
Andaman & Nicobar Islands,2021,2,Others,"4,564",7%
Andhra Pradesh,2018,1,Xiaomi,"836,581",25%
Andhra Pradesh,2018,1,Samsung,"683,687",20%
Andhra Pradesh,2018,1,Vivo,"425,959",13%
Andhra Pradesh,2018,1,Oppo,"304,487",9%
Andhra Pradesh,2018,1,Realme,"236,646",7%
Andhra Pradesh,2018,1,Motorola,"129,739",4%
Andhra Pradesh,2018,1,OnePlus,"129,421",4%
Andhra Pradesh,2018,1,Apple,"123,274",4%
Andhra Pradesh,2018,1,Lenovo,"84,138",3%
Andhra Pradesh,2018,1,Huawei,"76,654",2%
Andhra Pradesh,2018,1,Others,"305,864",9%
Andhra Pradesh,2018,2,Xiaomi,"1,113,800",25%
Andhra Pradesh,2018,2,Samsung,"903,290",21%
Andhra Pradesh,2018,2,Vivo,"586,965",13%
Andhra Pradesh,2018,2,Oppo,"410,549",9%
Andhra Pradesh,2018,2,Realme,"305,964",7%
Andhra Pradesh,2018,2,Motorola,"169,847",4%
Andhra Pradesh,2018,2,OnePlus,"155,418",4%
Andhra Pradesh,2018,2,Apple,"151,847",3%
Andhra Pradesh,2018,2,Lenovo,"107,441",2%
Andhra Pradesh,2018,2,Huawei,"102,929",2%
Andhra Pradesh,2018,2,Others,"394,490",9%
Andhra Pradesh,2018,3,Xiaomi,"1,385,112",26%
Andhra Pradesh,2018,3,Samsung,"1,103,186",20%
Andhra Pradesh,2018,3,Vivo,"761,793",14%
Andhra Pradesh,2018,3,Oppo,"518,120",10%
Andhra Pradesh,2018,3,Realme,"379,712",7%
Andhra Pradesh,2018,3,Motorola,"203,756",4%
Andhra Pradesh,2018,3,OnePlus,"181,364",3%
Andhra Pradesh,2018,3,Apple,"175,343",3%
Andhra Pradesh,2018,3,Huawei,"134,429",2%
Andhra Pradesh,2018,3,Lenovo,"122,489",2%
Andhra Pradesh,2018,3,Others,"462,313",9%
Andhra Pradesh,2018,4,Xiaomi,"1,753,802",26%
Andhra Pradesh,2018,4,Samsung,"1,388,061",20%
Andhra Pradesh,2018,4,Vivo,"1,011,185",15%
Andhra Pradesh,2018,4,Oppo,"675,093",10%
Andhra Pradesh,2018,4,Realme,"476,746",7%
Andhra Pradesh,2018,4,Motorola,"250,601",4%
Andhra Pradesh,2018,4,OnePlus,"210,161",3%
Andhra Pradesh,2018,4,Apple,"209,737",3%
Andhra Pradesh,2018,4,Huawei,"176,237",3%
Andhra Pradesh,2018,4,Lenovo,"149,583",2%
Andhra Pradesh,2018,4,Others,"556,203",8%
Andhra Pradesh,2019,1,Xiaomi,"2,110,547",25%
Andhra Pradesh,2019,1,Samsung,"1,688,342",20%
Andhra Pradesh,2019,1,Vivo,"1,262,871",15%
