State,Year,Quarter,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Bihar,2020,3,"71,503,748","173,328,865,112","2,424","11,763,213","266,652,644"
Bihar,2020,4,"96,591,673","238,905,613,136","2,473","12,889,833","317,056,600"
Bihar,2021,1,"114,932,477","280,973,649,701","2,445","13,946,288","355,792,608"
Bihar,2021,2,"155,603,622","374,580,255,187","2,407","14,972,134","371,198,660"
Chandigarh,2018,1,"381,895","613,435,421","1,606","86,268",0
Chandigarh,2018,2,"479,084","961,223,262","2,006","115,219",0
Chandigarh,2018,3,"616,936","1,369,354,448","2,220","143,893",0
Chandigarh,2018,4,"905,116","2,032,591,592","2,246","177,747",0
Chandigarh,2019,1,"1,274,476","2,396,032,050","1,880","209,175",0
Chandigarh,2019,2,"1,252,470","2,693,116,099","2,150","240,439","1,220,176"
Chandigarh,2019,3,"1,506,543","3,269,682,088","2,170","267,337","4,625,196"
Chandigarh,2019,4,"1,850,915","4,152,513,818","2,243","289,590","4,960,441"
Chandigarh,2020,1,"2,262,511","5,126,453,070","2,266","312,887","5,201,211"
Chandigarh,2020,2,"1,528,010","3,847,015,730","2,518","336,351","3,451,250"
Chandigarh,2020,3,"2,158,086","5,089,809,353","2,358","362,588","4,888,739"
Chandigarh,2020,4,"2,912,716","6,146,762,901","2,110","391,402","6,477,974"
Chandigarh,2021,1,"3,970,237","7,596,420,860","1,913","419,998","7,919,533"
Chandigarh,2021,2,"4,417,547","8,417,673,940","1,906","448,572","4,733,924"
Chhattisgarh,2018,1,"1,891,514","2,149,155,557","1,136","679,263",0
Chhattisgarh,2018,2,"2,816,156","4,264,170,443","1,514","950,675",0
Chhattisgarh,2018,3,"3,859,604","6,302,307,073","1,633","1,217,792",0
Chhattisgarh,2018,4,"5,365,844","9,416,412,665","1,755","1,579,998",0
Chhattisgarh,2019,1,"7,887,669","12,544,556,385","1,590","1,908,898",0
Chhattisgarh,2019,2,"9,389,945","17,002,355,689","1,811","2,191,066","13,206,373"
Chhattisgarh,2019,3,"12,243,111","19,803,259,167","1,618","2,435,058","46,362,341"
Chhattisgarh,2019,4,"16,305,758","27,143,788,737","1,665","2,725,900","57,278,977"
Chhattisgarh,2020,1,"19,523,991","32,860,597,671","1,683","3,016,487","64,224,101"
Chhattisgarh,2020,2,"18,820,925","32,268,382,207","1,714","3,401,658","68,493,384"
Chhattisgarh,2020,3,"24,148,539","41,526,744,808","1,720","3,799,386","86,918,606"
Chhattisgarh,2020,4,"35,529,636","62,214,974,284","1,751","4,190,601","109,900,467"
Chhattisgarh,2021,1,"39,436,437","69,409,843,262","1,760","4,514,551","124,648,704"
Chhattisgarh,2021,2,"44,689,420","78,728,771,259","1,762","4,837,055","205,784,717"
Dadra & Nagar Haveli and Daman & Diu,2018,1,"148,549","175,658,384","1,182","53,258",0
Dadra & Nagar Haveli and Daman & Diu,2018,2,"202,626","302,070,772","1,491","71,458",0
Dadra & Nagar Haveli and Daman & Diu,2018,3,"289,575","447,639,596","1,546","92,107",0
Dadra & Nagar Haveli and Daman & Diu,2018,4,"404,082","658,750,617","1,630","116,511",0
Dadra & Nagar Haveli and Daman & Diu,2019,1,"661,814","843,369,776","1,274","140,532",0
Dadra & Nagar Haveli and Daman & Diu,2019,2,"489,656","824,441,277","1,684","158,580","860,686"
Dadra & Nagar Haveli and Daman & Diu,2019,3,"638,751","961,471,474","1,505","176,929","3,126,189"
Dadra & Nagar Haveli and Daman & Diu,2019,4,"768,971","1,226,641,262","1,595","197,598","3,770,543"
Dadra & Nagar Haveli and Daman & Diu,2020,1,"878,579","1,342,763,369","1,528","218,496","4,195,122"
Dadra & Nagar Haveli and Daman & Diu,2020,2,"973,152","1,302,376,454","1,338","244,814","4,505,127"
Dadra & Nagar Haveli and Daman & Diu,2020,3,"1,138,312","1,749,789,115","1,537","267,946","4,421,499"
Dadra & Nagar Haveli and Daman & Diu,2020,4,"1,817,791","2,700,511,101","1,486","296,493","6,196,436"
Dadra & Nagar Haveli and Daman & Diu,2021,1,"1,925,244","2,965,632,911","1,540","321,396","7,302,462"
Dadra & Nagar Haveli and Daman & Diu,2021,2,"2,125,083","3,157,668,461","1,486","344,994","5,062,983"
Delhi,2018,1,"7,122,754","11,211,503,807","1,574","2,087,022",0
Delhi,2018,2,"9,373,723","17,446,299,902","1,861","2,756,141",0
Delhi,2018,3,"18,547,048","27,375,846,861","1,476","3,504,911",0
Delhi,2018,4,"29,187,719","39,722,857,619","1,361","4,630,313",0
Delhi,2019,1,"47,007,327","58,469,131,789","1,244","5,499,263",0
Delhi,2019,2,"57,171,512","81,706,816,064","1,429","6,165,448","43,731,570"
Delhi,2019,3,"69,537,876","103,196,812,046","1,484","6,782,286","163,381,027"
Delhi,2019,4,"80,744,997","129,024,467,425","1,598","7,289,883","172,682,671"
Delhi,2020,1,"81,747,604","133,616,543,643","1,635","7,826,197","178,263,986"
Delhi,2020,2,"66,042,018","107,873,438,203","1,633","8,391,139","142,852,253"
Delhi,2020,3,"96,491,861","175,163,962,805","1,815","9,044,174","190,025,029"
Delhi,2020,4,"120,540,417","216,265,088,225","1,794","9,747,968","243,433,752"
Delhi,2021,1,"157,359,004","266,928,345,043","1,696","10,467,210","281,201,600"
Delhi,2021,2,"170,157,264","281,941,097,685","1,657","11,182,699","164,997,774"
Goa,2018,1,"160,897","303,856,742","1,889","91,936",0
Goa,2018,2,"229,575","478,603,825","2,085","122,174",0
Goa,2018,3,"339,511","713,166,969","2,101","153,802",0
Goa,2018,4,"514,755","1,153,005,079","2,240","195,350",0
Goa,2019,1,"738,812","1,475,323,397","1,997","238,152",0
Goa,2019,2,"768,441","1,591,867,103","2,072","278,940","1,352,232"
